archetype,archetype_n_users,within_archetype_rank,bgg_id,name,overall_rank,owner_count_in_archetype,owner_share_in_archetype,profile_dimension,manual_label,community_type,community
leaning__party_family_social_deduction,30,1,178900,Codenames,161,22,0.7333333333333333,other,Escape-room / Unlock series cluster,franchise_series,37
leaning__party_family_social_deduction,30,2,129622,Love Letter,366,21,0.7,other,Take-that card/fandom cluster,franchise_series,39
leaning__party_family_social_deduction,30,3,133473,Sushi Go!,654,18,0.6,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,4,30549,Pandemic,170,18,0.6,other,Pandemic system cluster,franchise_series,26
leaning__party_family_social_deduction,30,5,13,Catan,615,17,0.5666666666666667,other,KeyForge / Catan gateway-franchise cluster,franchise_series,11
leaning__party_family_social_deduction,30,6,131357,Coup,717,16,0.5333333333333333,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,7,98778,Hanabi,595,16,0.5333333333333333,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,8,822,Carcassonne,239,16,0.5333333333333333,other,Racing / sports / route bridge,bridge_cluster,38
leaning__party_family_social_deduction,30,9,9220,Saboteur,1532,15,0.5,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,10,157969,Sheriff of Nottingham,609,15,0.5,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,11,68448,7 Wonders,116,15,0.5,other,,tiny_fragment,30
leaning__party_family_social_deduction,30,12,65244,Forbidden Island,1019,14,0.4666666666666667,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,13,147949,One Night Ultimate Werewolf,678,14,0.4666666666666667,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,14,181304,Mysterium,444,14,0.4666666666666667,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,15,39856,Dixit,423,14,0.4666666666666667,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,16,148228,Splendor,243,14,0.4666666666666667,other,Light set-collection gateway,bridge_cluster,36
leaning__party_family_social_deduction,30,17,41114,The Resistance,455,13,0.43333333333333335,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__party_family_social_deduction,30,18,70919,Takenoko,438,13,0.43333333333333335,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,19,192291,Sushi Go Party!,286,13,0.43333333333333335,party_family_social_deduction,Party / family / social deduction,taste_cross_over,25
leaning__party_family_social_deduction,30,20,70323,King of Tokyo,489,12,0.4,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
other_dominant_low_coverage,203,1,230802,Azul,96,100,0.49261083743842365,other,Abstract tile-placement puzzle bridge,bridge_cluster,14
other_dominant_low_coverage,203,2,173346,7 Wonders Duel,24,94,0.4630541871921182,other,,tiny_fragment,33
other_dominant_low_coverage,203,3,266192,Wingspan,38,89,0.43842364532019706,other,Licensed family/fandom games,franchise_series,34
other_dominant_low_coverage,203,4,414317,Harmonies,57,83,0.4088669950738916,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,5,342942,Ark Nova,2,80,0.39408866995073893,other,Ark Nova universal-appeal micro-cluster,bridge_singleton,24
other_dominant_low_coverage,203,6,295947,Cascadia,60,78,0.3842364532019704,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,13
other_dominant_low_coverage,203,7,199792,Everdell,42,78,0.3842364532019704,other,Fantasy adventure / deck-building gateway,taste_cross_over,23
other_dominant_low_coverage,203,8,367220,Sea Salt & Paper,259,75,0.3694581280788177,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,9,167791,Terraforming Mars,9,75,0.3694581280788177,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,0
other_dominant_low_coverage,203,10,420087,Flip 7,522,72,0.35467980295566504,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,11,312484,Lost Ruins of Arnak,30,71,0.3497536945812808,other,Thematic adventure / licensed bridge cluster,bridge_cluster,1
other_dominant_low_coverage,203,12,373106,Sky Team,33,71,0.3497536945812808,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,13,416851,Castle Combo,231,69,0.3399014778325123,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,14,224517,Brass: Birmingham,1,64,0.31527093596059114,other,,tiny_fragment,7
other_dominant_low_coverage,203,15,13,Catan,615,64,0.31527093596059114,other,KeyForge / Catan gateway-franchise cluster,franchise_series,11
other_dominant_low_coverage,203,16,178900,Codenames,161,63,0.3103448275862069,other,Escape-room / Unlock series cluster,franchise_series,37
other_dominant_low_coverage,203,17,822,Carcassonne,239,63,0.3103448275862069,other,Racing / sports / route bridge,bridge_cluster,38
other_dominant_low_coverage,203,18,291453,SCOUT,105,61,0.30049261083743845,other,Recent releases / new-hotness cluster,temporal_artifact,19
other_dominant_low_coverage,203,19,397598,Dune: Imperium – Uprising,5,61,0.30049261083743845,other,Recent releases / new-hotness cluster,temporal_artifact,19
